1,12
2,3
3,12
4,12
5,8
6,2
7,5
8,9
9,6
10,12
11,4
12,6
13,1
14,3
15,12
16,6
17,1
18,7
19,6
20,6
21,4
22,12
23,3
24,4
25,6
26,4
27,6
28,2
29,1
30,5
31,12
32,4
33,4
34,1
35,10
36,8
37,5
38,12
39,7
40,3
41,10
42,7
43,9
44,1
45,5
46,4
47,5
48,2
49,4
50,6
51,8
52,4
53,12
54,9
55,10
56,12
57,10
58,4
59,12
60,4
61,9
62,10
63,1
64,4
65,9
66,1
67,6
68,5
69,12
70,12
71,10
72,1
73,12
74,3
75,9
76,9
77,6
78,4
79,9
80,1
81,4
82,6
83,9
84,12
85,5
86,12
87,5
88,1
89,2
90,7
91,9
92,6
93,1
94,6
95,6
96,4
97,1
98,1
99,6
100,4
101,12
102,2
103,3
104,6
105,4
106,2
107,2
108,5
109,12
110,2
111,2
112,2
113,4
114,1
115,9
