1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,3
72,2
73,2
74,2
75,2
76,3
77,2
78,2
79,2
80,3
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,1
102,8
103,8
104,8
105,8
106,8
107,1
108,1
109,8
110,1
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,2
122,2
123,3
124,2
125,3
126,3
127,2
128,2
129,2
130,2
131,3
132,3
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
