1,5
2,4
3,1
4,5
5,9
6,9
7,3
8,10
9,6
10,5
11,12
12,6
13,7
14,2
15,5
16,4
17,11
18,7
19,4
20,4
21,8
22,5
23,2
24,8
25,2
26,8
27,2
28,9
29,11
30,4
31,1
32,8
33,8
34,11
35,7
36,9
37,6
38,1
39,2
40,2
41,7
42,2
43,10
44,7
45,6
46,8
47,3
48,9
49,12
50,4
51,9
52,8
53,1
54,10
55,11
56,1
57,3
58,8
59,5
60,8
61,10
62,11
63,11
64,12
65,10
66,7
67,2
68,4
69,1
70,1
71,5
72,7
73,1
74,3
75,10
76,10
77,2
78,12
79,10
80,11
81,12
82,2
83,10
84,5
85,6
86,5
87,2
88,7
89,9
90,4
91,10
92,2
93,7
94,3
95,6
96,12
97,11
98,7
99,6
100,8
101,1
102,9
103,4
104,3
105,8
106,9
107,9
108,6
109,5
110,9
111,9
112,9
113,8
114,11
115,10
